"8 SIDOR","15759997"
"NYTT OCH GAMMALT (VISBY : 1832)","r2q5bl1dpq3mwrkj"
"NYTTA OCH NÖJE","0c7dwm7gxls8sg1t"
"NÄR OCH FJÄRRAN","t627qjtnrc91flsv"
"NÄRKES ANNONSBLAD","w84btl8vtx01m2bl"
"NÄRKESBLADET","xcfd8lxnvm3mg9t5"
"NÄSSJÖ ALLEHANDA","jwrzg98zgnwn1w7s"
"NÄSSJÖPOSTEN (1879)","1gln4xb1zw37phcn"
"NÄSSJÖTIDNINGEN (1890)","q48s0hnbnv6x6gwl"
"OBSERVATOR","x9cnhbm7vrgw0kbn"
"OECONOMISKA TIDNINGAR","2c1gmzs70z99bb8m"
"OFFENSIV, MARXISTISK TIDNING INOM ARBETARRÖRELSEN","2l9jd8380kb63sjg"
"ORUST TJÖRN TIDNINGEN","15760617"
"OSCARSHAMNS TIDNING","s2937mflqgbj1lz2"
"OSCARSHAMNSPOSTEN","08h9gx13xshh0gdd"
"OSKARSHAMNSBLADET","s2938s7qqk1xn5cj"
"OSKARSHAMNSTIDNINGEN","15760622"
"PARTILLE TIDNING","15760628"
"PATRIOTEN (STOCKHOLM : 1852), TIDNING FÖR BURSKAPSEGANDE HANDTVERKARE","2bkcjwcz0g47nx44"
"PATRIOTEN (STOCKHOLM : 1892)","19jbj5tvzcsd4qmd"
"PHILIPSTADS BERGSLAGS TIDNING","22546369"
"PHOENIX, TIDNING FÖR POLITIK, LITTERATUR OCH NÄRINGAR","22651568"
"PIFF, TIDNING FÖR HELNYKTERHET OCH FRAMÅTSKRIDANDE","lv3w26l9jhzrhql4"
"PITEÅTIDNINGEN","15760633"
"POEMBLADET","lv3w2w73jdl5rl6p"
"POHJOLA","dnwpxm9gbjn3vhlv"
"POHJOLAN SANOMIA","9ksltrw97dqp140d"
"POST- OCH INRIKES TIDNINGAR","11653823"
"POSTBUDET, TIDNING FÖR DAL OCH VESTRA WERMLAND","t3b5rhvrrw06b90l"
"POSTTIDNINGAR","11653825"
"POUNSCH","bltn9b9r8v2m48s7"
"PRAKTIKEN","5fnh4dbr3lx2t5kb"
"PRAKTISK TIDNING","fpxrdvbfcmc3bvf2"
"PROLETÄREN (GÖTEBORG), ORGAN FÖR KOMMUNISTISKA FÖRBUNDET MARXIST-LENINISTERNA (R)","q8z63nbhn244zwkj"
"PROLETÄREN (NORRKÖPING : 1888), TIDNING FÖR ÖSTERGÖTLANDS ARBETAREPARTI","8jrl7xdn6r0xk1lh"
"PROVINSTIDNINGEN DALSLAND","15760801"
"RAJALTA","hr0tgd0ffqlzncp4"
"RAKETEN","x7k84xgdvwbx2jzj"
"RANSAKAREN","mwv0ttskk58g2m17"
"REFORM (GÖTEBORG : 1881)","1bnc7gq0z6zm7k87"
"REFORM (HUDIKSVALL : 1889)","t4g517vnr5wr91gm"
"REFORM (STOCKHOLM : 1849)","2cpd8df501hxspsb"
"REFORMATORN","19962135"
"REVELJEN (KÖPING : 1891), TIDNING FÖR MILITÄRER OCH VÄRNPLIKTIGE","1gtj3pxfztzcf80t"
"REVISORN (1874), POPULÄR FOLKSKRIFT I RELIGIÖSA, JURIDISKA OCH POLITISKA ÄMNEN","s3rkf13mq6zhpp98"
"REVUEN, ILLUSTRERAD FAMILJETIDNING","cnb40nc09nhqlsmj"
"RIKSBLADET","q05drn3zn5fvkpj5"
"RIKSGRÄNSEN, NOTIS- OCH ANNONSBLAD FÖR HAPARANDA STAD OCH KRINGLIGGANDE LANDSORTER","gr3c3h5qd2h3xz6k"
"RINKEBYDIREKT","r23xdfnpp3p5k2wh"
"RIPAN","q1cxsl8kn5xdtn26"
"RONNEBY TIDNING (KARLSHAMN : 1876)","09mwrg73x4q1s6pk"
"RONNEBY, NYHETS- OCH ANNONSTIDNING","fq2b2k9xc4ph28cn"
"RONNEBYBLADET","jscdv773g7djxr2z"
"RONNEBYPOSTEN","r2dnj9m7pqng4fpv"
"ROSLAGEN (GÄVLE : 1878), TIDNING FÖR ÖSTHAMMAR OCH ÖREGRUND MED OMNEJD","kv6gb6n7hxf1wh28"
"ROSLAGENS TIDNING","p0blbxncm0hhkk1k"
"ROSLAGSBLADET (ÖSTHAMMAR : 1879), TIDNING FÖR ÖSTHAMMAR, ÖREGRUND OCH NORRTELJE MED OMNEJD","gr3c3rw2dlpg5p42"
"RUOTSIN SUOMALAISSEUROJEN KESKUSLIITON TIEDOTUSLEHTI","15760805"
"RÄTT OCH SANNING PÅ ALLVAR","s3l0vvwtqjfkqrls"
"RÄTTA FÄDERNESLANDET","x65z5v5nvtqd26fc"
"ST TIDNINGEN","15760960"
"STT","15761560"
"SAISONEN, TIDNING FÖR HANDEL & INDUSTRI","fq2b157fcqr15hmg"
"SALA ALLEHANDA","15760812"
"SALA NYA TIDNING","v68fc5g5ss182jlb"
"SALA TIDNING","pz4bcgxbmnmkg0z6"
"SALAPOSTEN","2hkjdthc0kplc9pk"
"SALONGEN, TIDNING FÖR FRUNTIMMER","r6x55fm1p5m6jfm6"
"SALTSJÖBADENS TIDNING","5hlfsln33z8mm0wj"
"SAMEFOLKET, ORGAN FÖR SVENSKA SAMERNAS RIKSFÖRBUND OCH SÄLLSKAPET SAME-ÄTNAM","1l1mdb54z72f0llv"
"SAMEFOLKETS EGEN TIDNING","0k0lbw0jxnvchrc2"
"SAMHÄLLSLYTENAS GISSEL","gts4rv1jdkxg56ng"
"SAMLAREN","2bq805750h151shn"
"SANDVIKENS TIDNING","9rhv6frw7m4q9wcx"
"SANNING OCH FRIHET","v76j5sr7s5z0xzx3"
"SANNING OCH NÖJE","s9qd6rk9qvg0d0zj"
"SCHWEDISCH NORWEGISCHE CORRESPONDENZ.","gtw6zrc4d862gzm0"
"SEDLIGHETS-VÄNNEN, DEN ALLMÄNNA ABOLITIONIST-FEDERATIONENS ORGAN FÖR SVERIGE","4k7vx5b029szmhxm"
"SEFFLE NYHETER","8m20qx7x6lqrs277"
"SEFFLEPOSTEN","z9gtjg8lwdpv459t"
"SEFFLETIDNINGEN","8m20q0xp6mkn7p55"
"SIGNALEN (GÖTEBORG : 1900)","18566467"
"SIGNALEN (STOCKHOLM : 1883)","3fhnm4n61g265lgj"
"SIGNALEN (VÄSTERÅS : 1895)","8lntrz9m6pn9cwnf"
"SIGTUNA TIDNING (SIGTUNA : 1883)","l132xgjgj82d953k"
"SIGTUNA TIDNING (SIGTUNA : 1888)","2hcm10tb0zmv0rkj"
"SIGTUNA VECKOTIDNING","brtsp9cf8xr4t86c"
"SIGTUNABYGDEN (2004)","15760813"
"SILJAN","dt02xjkwb0dn2q00"
"SJÖMANNEN OCH HANDTVERKAREN","22651570"
"SKANDINAVISK OFFERT","2fcvw9w90zr1b5rq"
"SKANDINAVISKE INDUSTRIIDKARES ENGAGEMENTS OCH ANNONSBLAD","zbdph4t3wm22klks"
"SKARA ANNONSBLAD (SKARA : 1835)","08mtxzhnx7dw3zfr"
"SKARA ANNONSBLAD (SKARA : 1891)","lzx8w47wjmhrh671"
"SKARA NYA TIDNING","s728db03q3b2vb2w"
"SKARA TIDNING","l1v26fr3jrw2dnk5"
"SKARA TIDNING (SKARA : 1813)","19bdx9c4zz97tgfw"
"SKARA TIDNING (SKARA : 1825)","t346q5n0r49wlwsv"
"SKARA TIDNING (SKARA : 1838)","r124n6p4p4x7hv7n"
"SKARABORGS ALLEHANDA","15760817"
"SKARABORGS LÄNS ANNONSBLAD","gw3vhk00d87c5hkk"
"SKARABORGS LÄNS TIDNING (MARIESTAD : 1849)","t3cv95rgrp114c77"
"SKARABORGS LÄNS TIDNING (SKÖVDE : 1884)","15760830"
"SKARABORGS LÄNS TIDNING HALFVECKOUPPLAGAN","hv97zb5mf35s5484"
"SKARABORGSBYGDEN","15760835"
"SKARAPOSTEN","jwz8207pg224qs85"
"SKELLEFTEBLADET","q1j0krxgnbl9czg4"
"SKELLEFTEÅ NYA TIDNING","8jhmglkz6qx8vnmv"
"SKELLEFTEÅ TIDNING","x6l3tmxgv5rnft39"
"SKENINGE ALLEHANDA","bpr2w0fn8qr6whs0"
"SKENINGE NYA TIDNING","v4h2r1r2st21jgtg"
"SKENINGE TIDNING","t68kdbggrj7dlm9w"
"SKENINGEBLADET","t68kdf19rwflvkbf"
"SKENINGEPOSTEN","bnqwt7g38ks2mflt"
"SKÄRGÅRDEN (STOCKHOLM : 2000)","16005063"
"SKÄRGÅRDEN (UDDEVALLA : 1897)","jxfm1f6zg9gbvtc7"
"SKÄRGÅRDSBLADET","3gfrdcmr1vghckj2"
"SKÄRHOLMEN DIREKT","21551455"
"SKÅNE HALLAND","1ccsfbv1zlh00drl"
"SKÅNES ANNONSBLAD","fsv507tqc0h773mj"
"SKÅNES FOLKBLAD","wgmx9pnzthxlfc7p"
"SKÅNES FRIA TIDNING","15760836"
"SKÅNES HANDTVERKS OCH INDUSTRITIDNING","cqp1nlbs9b37lwk3"
"SKÅNES NYHETER (MALMÖ : 1883)","bnqwt5gb89j95r0t"
"SKÅNES NYHETER (MALMÖ : 1905)","6jp2s3hb4zkq1n74"
"SKÅNES VECKOTIDNING","09xgvgs1x462qwkc"
"SKÅNETIDNINGEN","mz4h8q0vk0kgfstc"
"SKÅNING, NYKTERHETSPOLITISK TIDNING FÖR SÖDRA SVERIGE","z9gtl4mjw5qmt7gn"
"SKÅNINGEN ESLÖVS TIDNING","s2gkk78wqkhn9c9k"
"SKÅNSKA AFTONBLADET","r38md07kp3dgpn0p"
"SKÅNSKA BUDBÄREN","6jcz280j4h404hxc"
"SKÅNSKA BYGDEN","x8fsk734vzx419jj"
"SKÅNSKA CORRESPONDENTEN","22651584"
"SKÅNSKA DAGBLADET","15760837"
"SKÅNSKA DAGBLADETS HYRES OCH PLATSLISTA","n05j9m6wlf3sgv35"
"SKÅNSKA MERCURIUS","hssmph6vfvrtlk33"
"SKÅNSKA POSTEN","4g96pc2x24xddjcb"
"SKÅNSKA TELEGRAFEN","cms1ddv29jtbg188"
"SKÅNSKA WECKOBLADET","bnt6zn3x8v8fkmwq"
"SKÅNSKE FIGARO","hvx727m1fl76glz9"
"SKÖFDE TIDNING (SKÖVDE : 1858)","bn9cp40w8bldgfqk"
"SKÖFDE TIDNING (SKÖVDE : 1887), NYHETS & ANNONSBLAD","z9x0btmdw186hc8d"
"SKÖFDE TIDNING VECKOUPPLAGA","zdrjl78ww6331v1h"
"SKÖFDEPOSTEN","3fhnlvhr1ntlb8lr"
"SKÖVDE NYHETER (1911)","15760838"
"SMÅLAND","kwz425zshc1533mt"
"SMÅLANDS ALLEHANDA","1dtrjznzz7pxkf4l"
"SMÅLANDS ANNONSBLAD (EKSJÖ : 1899)","t65h456vrfl3v483"
"SMÅLANDS ANNONSBLAD (SKARA : 1893)","09m63z04xh58h0l2"
"SMÅLANDS DAGBLAD (NÄSSJÖ : 2013)","15760840"
"SMÅLANDS FOLKBLAD (1901)","5lbfjjhw3hqt2dnx"
"SMÅLANDSBLADET (EKSJÖ : 1898)","gsv1zxgfd8r8fqsd"
"SMÅLANDSBLADET (EKSJÖ : 1901)","s46c96rrq26rtv61"
"SMÅLANDSBYGDENS TIDNING","15760841"
"SMÅLANDSKURIREN","lx0534vpj5r923s5"
"SMÅLANDSPOSTEN","15760842"
"SMÅLANDSPOSTENS VECKOBLAD","p21c0vz2mt6d49l4"
"SMÅLANDSTIDNINGEN","15760844"
"SMÅLÄNDSKA CORRESPONDENTEN","22665230"
"SMÅLÄNDSKA LÄNENS TIDNING","dqkgvs0fbh2lckv0"
"SMÅLÄNNINGEN (LJUNGBY : 1963)","15760879"
"SMÅLÄNNINGEN (VÄXJÖ : 1885)","wbdc821jtl1bz76f"
"SNÄLLPOSTEN (GÖTEBORG : 1882)","6lnv9fhl46384bks"
"SNÄLLPOSTEN (MALMÖ : 1848)","22651588"
"SOCIALDEMOKRATEN","22688892"
"SOCIALISTEN","s49nf68gqjb836m4"
"SOLLEFTEÅBLADET","n1gd5p6tlbdfljpj"
"SOLLENTUNADIREKT","x783kn1rvjf0l0m5"
"SOLNADIREKT","z894lq47w2xnmmdb"
"SOMMARSÄSONGEN","bm93zq90864vzv72"
"SPECERISTEN","p0hwnr5dmvc0f73w"
"SPEGELN (STAFFANSTORP : 2001)","15760947"
"SPEGELN VELLINGE","17029097"
"SPÅNGA TIDNING","17644168"
"SPÅNGADIREKT","1bc6ntmxz8ftb0d6"
"STJERNAN","r2k1lv5kprlnnzqt"
"STOCKHOLM (1885)","w5bkwkdztrqvvrrk"
"STOCKHOLM (1895)","k0c46xt8hv933qn4"
"STOCKHOLMAREN (1894), DAGLIG TIDNING FÖR RESANDE","2dggzgtn0c50n633"
"STOCKHOLMER CORRESPONDENZ","wbdc8526t7qzxncj"
"STOCKHOLMS FIGARO, ETT ARTISTISKT OCH BELLETRISTISKT SÖNDAGSBLAD","csg7nzl59tjldjw1"
"STOCKHOLMS POSTEN (ONLINE)","11653828"
"STOCKHOLMS ADRESS OCH ANNONSTIDNING","jzb350kcg0j0xnwq"
"STOCKHOLMS ADRESS OCH HYRESLISTA (STOCKHOLM : 1892)","bnwdjf2n8gdb3wbf"
"STOCKHOLMS ADRESS OCH HYRESLISTA (STOCKHOLM : 1900)","x8h047bhvdcp56n4"
"STOCKHOLMS ADRESS OCH VARUTIDNING","fr0hmtzlcbstm66b"
"STOCKHOLMS ADRESS-CALENDER FÖR ÅR ..., ELLER HVAR BOR N: N:","gwp32x93d25jwv2r"
"STOCKHOLMS ADRESS-KALENDER ELLER VÄGVISARE FÖR ÅR ..., UTARBETAD EFTER ÅRETS MANTALSFÖRTECKNINGAR","7ngwnm5w542sxpkj"
"STOCKHOLMS ADRESSTIDNING","cqm9kbzw9w7wqjc8"
"STOCKHOLMS AFTONBLAD","r2kztwwwpvxbpjtp"
"STOCKHOLMS AFTONPOST (STOCKHOLM : 1848)","3dzwdcrd10rr2bhk"
"STOCKHOLMS AFTONPOST (STOCKHOLM : 1871)","9kqz92g0772zzbwk"
"STOCKHOLMS ANNONSBLAD","5lzqsp2r3hds92j7"
"STOCKHOLMS BÖRS OCH HANDELSTIDNING","r16frlhmp0tnk1p6"
"STOCKHOLMS COURIER","10636834"
"STOCKHOLMS DAGBLAD","19277277"
"STOCKHOLMS FRIA TIDNING","15761548"
"STOCKHOLMS GAMLA HANDELSTIDNING","22550060"
"STOCKHOLMS HOTELLTIDNING","gs1jnxqmd6xmws3t"
"STOCKHOLMS HYRESLISTA","0fmd17gqxk3xlwj9"
"STOCKHOLMS HYRESREGISTER","v7m2fmsvs70wq9rc"
"STOCKHOLMS KOMMUNIKATIONER","9q3vxx6m731bh5bm"
"STOCKHOLMS LÄNS NYHETER (1905)","s5k0dxzjq57ddjf3"
"STOCKHOLMS LÄNS TIDNING (1886)","6lf38h5p4n91cdzv"
"STOCKHOLMS MISSIONSBLAD","1gjhdcmxzgts8jdt"
"STOCKHOLMS MODE-JOURNAL, TIDSKRIFT FÖR DEN ELEGANTA VERLDEN","9qd5mvnj79r07pbv"
"STOCKHOLMS MORGONBLAD","dr5l25qwbcwgjz2s"
"STOCKHOLMS NYA ANNONSBLAD","q5j9cgl2n0ljvtm2"
"STOCKHOLMS NYHETER","fv703ckcc72fk8zv"
"STOCKHOLMS STADS PRIS-COURANT","2cvbqbt80ztt4p32"
"STOCKHOLMS SÖNDAGSTIDNING","wbpgk04ttwz9nrjm"
"STOCKHOLMS TIDNING","3dwrdtw91rbhfjkb"
"STOCKHOLMS WECKOBLAD (STOCKHOLM : 1745)","4fxwsv3q2t63m97r"
"STOCKHOLMS WECKOBLAD (STOCKHOLM : 1838)","8k5j64cq6kw4p2fv"
"STOCKHOLMS WECKOBLAD (STOCKHOLM : 1884)","t8b9689prbhgghm6"
"STOCKHOLMSBLADET (1901)","2ft8qxw20c37fh0l"
"STOCKHOLMSBLADET (STOCKHOLM : 1838)","fq8gn33wc285pd0c"
"STOCKHOLMSBLADET (STOCKHOLM : 1855)","0fskncmpxkbzxh46"
"STOCKHOLMSBLADET (STOCKHOLM : 1879)","v49hlpsrsl5f3k06"
"STOCKHOLMSBLADET NYA DAGLIGT ALLEHANDAS NATIONALUPPLAGA","p4h8c6c5m6npwb5q"
"STOCKHOLMSKORRESPONDENS","0fsknpnfxgj3lf41"
"STOCKHOLMSPOST","l1d58f0gjrp26tqd"
"STOCKHOLMSPOSTEN (1868)","xcfd9gxsvcnn0jlx"
"STOCKHOLMSPOSTEN (1889)","4kxpt2kf2062mk8r"
"STOCKHOLMSTIDNINGEN (1889)","21575146"
"STOCKHOLMSTIDNINGEN VECKOUPPLAGA","8m1gz7jg6vmrjs3x"
"STRENGNÄS TIDNING (1846)","dn2lbj7pbrkg2qs6"
"STRENGNÄS TIDNING (1854)","z8r7s4vqwhgcsfps"
"STRENGNÄS TIDNING (2001)","15761553"
"STRENGNÄS WECKOBLAD (STRÄNGNÄS : 1825)","2bq808sf05j3zx4q"
"STRENGNÄS WECKOBLAD (STRÄNGNÄS : 1862)","q07wg7m4n7gt0z6c"
"STRENGNÄSBLADET","8jxg6jq06q0vdks2"
"STRIX","wb0mp5mftkxncfr5"
"STRÄNGNÄS ALLEHANDA","fpxl5120c20sfggq"
"STRÖMSTADS TIDNING (1866)","r6874dntptd06nhx"
"STRÖMSTADS TIDNING (1920)","15761557"
"STRÖMSUNDS TIDNING","q5763h1nn2lwbg5k"
"SUNDBYBERGDIREKT","t450gpv3r7q6037m"
"SUNDBYBERGS OCH SOLNA TIDNING (1900","wbdc8rdjt1x0z1dt"
"SUNDSVALLS DAGBLAD","wb258gb7tm8mwqdg"
"SUNDSVALLS NYHETER (1891)","gwmqt5v5dqb569rk"
"SUNDSVALLS NYHETER (2007)","15761564"
"SUNDSVALLS TIDNING","15761570"
"SUNDSVALLS TIDNING NORRLÄNDSKA KORRESPONDENTEN","19277288"
"SUNDSVALLSPOSTEN","5gc6g4tc39tsr208"
"SUNDSVALLSTIDNINGEN NORRLAND","r2dzvsvqpfd69msx"
"SUNNERBOPOSTEN","6kjvhs0j47kt3xd9"
"SUOMEN UUTISVIIKKO","15761571"
"SVARTA KATTEN","drq2n9jqbt2zqt5c"
"SVEA NYHETS OCH ANNONSTIDNING","xcfdbzcmvjmwq2ph"
"SVENSK AFFÄRSTIDNING","0bddwpcnx00zjs6s"
"SVENSK BRUNNS OCH BADTIDNING","9kjbj94g76mwhkzj"
"SVENSK BÖRSTIDNING","cpxfk6z191rn2g8n"
"SVENSK DAMTIDNING","8pwnblw66h5hcsqw"
"SVENSK FOLKTIDNING","kwzzg6c0h6fwz758"
"SVENSK HANDELS OCH INDUSTRITIDNING","q29sx8vsnbkp00jw"
"SVENSK KEMISK TIDSKRIFT","5jrvxm0x3b41xx7n"
"SVENSK NATIONALTIDNING","kwqm12t0hbclwfr6"
"SVENSK SJÖFARTSTIDNING","0bk2752fxgf7gdwm"
"SVENSK SKYTTETIDSKRIFT (1895), FÖR HEM OCH HÄRD : ORGAN FÖR DEN FRIVILLIGA SKYTTERÖRELSEN I SVERIGE","n3wj2wdklk6lkv41"
"SVENSK TYPOGRAFTIDNING","v9wl63w2sw5c2h8m"
"SVENSK VECKOTIDNING","3fhh0nvp130w00dl"
"SVENSKA ALLEHANDA","7lnzqt5l5qfkxts7"
"SVENSKA ARBETAREN","3fhh0dzs17rbkhwd"
"SVENSKA BIET","22691487"
"SVENSKA DAGBLADET","13434192"
"SVENSKA DAGBLADET JUNIOR, NYHETER FÖR BARN OCH UNGA","n6ndb3mzl302h7lc"
"SVENSKA FOLKBLADET","jzn32cgcgs8vg0s5"
"SVENSKA FOLKET (1890)","t577qbpsrmprjh6z"
"SVENSKA FOLKET (STOCKHOLM : 1874)","6lq8g1kn4bqpn5sf"
"SVENSKA FOLKET (STOCKHOLM : 1888)","1dgrjnb9z0kgrvz2"
"SVENSKA FOLKET (STOCKHOLM : 1906)","q35g7w40nvkbnsbj"
"SVENSKA FOLKVILJAN, ORGAN FÖR SVENSKA FOLKFÖRBUNDET","bt7rf6fv8x4m2wpj"
"SVENSKA FRÄLSNINGSARMÉNS TIDNING, SVENSKA STRIDSROPET","t5dw25x6rsz9vlrp"
"SVENSKA HANDELSKURIREN","m0xfgxhskjkvkwds"
"SVENSKA HÄROLDEN","v76j5vk0ss6bk65f"
"SVENSKA KÖPMANSBLADET","w7gz448wtkvk7kn5"
"SVENSKA LANDTMANNATIDNINGEN","lx5nt36xj0jdkmdf"
"SVENSKA MEDBORGAREN (SKÖVDE : 1866)","8lnn5j6t6nf7ddlg"
"SVENSKA MEDBORGAREN (STOCKHOLM : 1871)","zbdpggslwzsknhxr"
"SVENSKA MORGONBLADET","8p2tzb5g64tj0snh"
"SVENSKA POLITIKEN","5hkk2mdr34mh5jz3"
"SVENSKA POSTEN","3cbgd8b216wq3z41"
"SVENSKA PRESSBYRÅNS MEDDELANDEN","6kmxpwdv4ljhvpj8"
"SVENSKA REVUEN, ILLUSTRERAD FAMILJETIDNING","0cfqht15xt37nx99"
"SVENSKA STRIDSROPET","lx5nt0mqj0ks8bx2"
"SVENSKA SÄNDEBUDET","hvx71gs8f35rmhxb"
"SVENSKA TIDNINGAR","t68kb6gwrghxk2sj"
"SVENSKA TIDNINGEN","s7dgbl67qch16qwr"
"SVENSKA TRIBUNEN (ÖREBRO)","csjmrdl49wtb6d73"
"SVENSKA WECKOBLADET","s57j97ktq8hwpk84"
"SVENSKE ARGUS, FRITT OCH SJELFSTÄNDIGT ORGAN I DAGENS ALLA FRÅGOR","s57j9kzkqn1dz1rg"
"SVENSKE BUDBÄRAREN (1891)","0f58d5pcxnpx4rgp"
"SVENSKE BUDBÄRAREN (1896)","w799s1t1tv650fc3"
"SVENSKE PATRIOTEN, VETENSKAPLIG OCH INDUSTRIELL TIDNING","4g9w0dfx2msv8wmr"
"SVENSKEN, ILLUSTRERAD VECKOTIDNING","w54x40cqtvpxjksr"
"SVERIGE (LINDESBERG : 1885)","lzx8wn5kj9vnqvpx"
"SVERIGE (STOCKHOLM : 1857)","6lq8g3jg473s0d9q"
"SVERIGE (STOCKHOLM : 1890)","7ptrwt7b511gwcph"
"SVERIGE FRITT, ORGAN FÖR FÖRBUNDET SVENSK FOLKGEMENSKAP (F.S.F.)","j0srtkp1gtpxdl5s"
"SVERIGE OCH AMERIKA","22685821"
"SVERIGES SJÖFARTSTIDNING","9l1k51sx7zc4xdw3"
"SVERIGES ADRESS OCH VARUTIDNING","5lk6dmkx3r173x15"
"SVERIGES ALLMÄNNA HANDELS OCH INDUSTRITIDNING (MALMÖ : 1890)","9kflbqch78fxq9jf"
"SVERIGES ALLMÄNNA HANDELS OCH INDUSTRITIDNING (STOCKHOLM : 1906)","8pdts5wm63fvl59v"
"SVERIGES ANNONSBLAD","mxj48cnxkvttxrv3"
"SVERIGES ANNONSER","6gbh81r74pcjws9z"
"SVERIGES EGENDOMS OCH AFFÄRSTIDNING","3d1k01kb14cnkmt3"
"SVERIGES HANDELSTIDNING (1888)","n32pw7nbl9mdz5rk"
"SVERIGES KOMMUNIKATIONER","22550258"
"SVERIGES LANDTMANNAFÖRBUNDS TIDSKRIFT, ORGAN FÖR SVERIGES LANDTMANNAFÖRENINGAR","q8lfpllqn367zfwv"
"SVERIGES NYA TIDNING","22552225"
"SVERIGES NYA TIDNING HALFVECKOUPPLAGA","22572569"
"SVERIGES NYA TIDNING VECKOUPPLAGA","22552228"
"SVERIGES RESTAURANTTIDNING","n1gd5t44lbg860z7"
"SVERIGES TIDNING (ENKÖPING : 1883)","22552151"
"SVERIGES TIDNING (STOCKHOLM : 1868)","v98w37w5sr349nvd"
"SVERIGES TJENSTELISTA","p18rw9v3mh87b9d0"
"SVÄRDET OCH BIKUPAN","8ltbhttm6gxpdhnq"
"SWEA, ILLUSTRERAD TIDNING FÖR HEMMET","3jlkh23n1ldf1bbf"
"SWENSKA WECKOTIDNINGEN FACKLAN","q244mxrmn0dwzv4q"
"SYDHALLAND","6ml29r2d4mgp0k0r"
"SYDKUSTEN","1cl38nl5z0dnnvnk"
"SYDSVENSKA DAGBLADET","22651590"
"SYDSVENSKA WECKOBLADET","zbzqsdb7w39n481n"
"SYDSVENSKAN","15761578"
"SYDÖSTRAN","15761581"
"SYNGLASET","s4d147l8qfvprdql"
"SÄFFLETIDNINGEN","15761587"
"SÄFSJÖ TIDNING","2h6mm22r04ll8vgs"
"SÄNDAREN, EN KRISTEN VECKOTIDNING : ORGAN FÖR SVENSKA BAPTISTSAMFUNDET OCH SVENSKA MISSIONSFÖRBUNDET","r7kk3br6pr1nxnvp"
"SÄSONGEN (GÖTEBORG : 1879), ANNONSTIDNING FÖR GÖTEBORGS OCH BOHUS LÄN","dn372g28b33vzk7p"
"SÄSONGEN (MALMÖ : 1891)","6kh01n92418hh5p2"
"SÖDERHAMNS TIDNING","20792765"
"SÖDERHAMNSKURIREN (1895)","gvhhzfmmdsh4lz55"
"SÖDERHAMNSKURIREN (2007)","15761591"
"SÖDERHAMNSNYTT","15761595"
"SÖDERHAMNSPOSTEN","drn5m55qbx4d02v9"
"SÖDERKÖPINGS ALLEHANDA","7j1h2jd358c9dkl3"
"SÖDERKÖPINGS NYA TIDNING","m1kdb9sqkxkd13qz"
"SÖDERKÖPINGS TIDNING (1853)","7hnvkcsf56v3gvxl"
"SÖDERKÖPINGS TIDNING (1895)","ftfl97f1cb6h4z6m"
"SÖDERKÖPINGSPOSTEN","p3mgdg5vmx7fqvx4"
"SÖDERMALM","q29sxcmknmqjwn93"
"SÖDERMALMDIREKT","s34zg7khq99x4q3g"
"SÖDERMALMS TIDNING","9nl359137fppkdfk"
"SÖDERMALMSNYTT","15761596"
"SÖDERMANLANDS ALLEHANDA (TROSA : 1885)","5jcjdj0l3zcjwnq3"
"SÖDERMANLANDS ALLEHANDA (ÖREBRO : 1872)","2bwxdv9f0mztgx8c"
"SÖDERMANLANDS DAGBLAD","jwtbb8r0g5630n97"
"SÖDERMANLANDS LÄNS ANNONSBLAD","1dbttv0tz2gdm6v9"
"SÖDERMANLANDS LÄNS TIDNING","8nz19cn26sk35szd"
"SÖDERMANLANDS NYHETER","15761609"
"SÖDERMANLANDS OCH NERIKES ANNONSBLAD","pzcwm2jzmn2r3dx7"
"SÖDERMANLANDS OCH NERIKES NYHETER","w5k3tbkvtfjrsgp6"
"SÖDERMANLANDSPOSTEN","s20bmntlqhf8nk6g"
"SÖDERORTDIREKT","x7ktddd3v2cmhcmw"
"SÖDERTELGE TIDNING","cmjgvtg59slrhcz9"
"SÖDERTÄLJE POSTEN","15761622"
"SÖDERTÄLJE TIDNING","t65h4hqmr06kmfxv"
"SÖDERTÄLJE-SÖDERTÖRNSPOSTEN","cqn6cb1z9zch6974"
"SÖDRA DALARNES TIDNING","15761691"
"SÖDRA NORRBOTTENS TIDNING","lw86b1k8j02gw00j"
"SÖDRA SKÅNE (TRELLEBORG : 1893)","hvsbg2rrfzzqmr79"
"SÖDRA SKÅNE (YSTAD : 1879)","bl56n60t8bctzwtv"
"SÖDRA SVERIGE (KRISTIANSTAD : 1881)","s7xcc700qpf4tm3t"
"SÖDRA SVERIGE (MALMÖ : 1898)","gwl11j7qdgw424dv"
"SÖDRA SIDAN","15761707"
"SÖLVESBORGS ALLEHANDA","gs1jp5s1dzktt07s"
"SÖLVESBORGSPOSTEN","x97rwt96vl8zqvff"
"SÖLVESBORGSTIDNINGEN","15761708"
"SÖLWE","r1mrr92tprd3pcbs"
"SÖNDAGEN (GÖTEBORG : 1884)","z795bt6cwp1ql6l1"
"SÖNDAGEN (GÖTEBORG : 1890)","r2jr7dfspxr38l5j"
"SÖNDAGSNOTISERNA","jwtbd9t6gfjmsgjf"
"SÖNDAGSNYTT (NORRKÖPING : 1905)","jwtbcbzvghcznsl2"
"SÖNDAGSPOST","zb8rsczbwb6hksxq"
